"фраза","показы","группа","Минусы"
"клининговая компания генеральная уборка цена","3","генеральная уборка",""
"клининговые услуги генеральная уборка","8","генеральная уборка",""
"клининговые услуги генеральная уборка квартиры","2","генеральная уборка",""
"нужна генеральная уборка квартиры","9","генеральная уборка квартиры",""
"однокомнатная генеральная уборка","36","генеральная уборка 1 комнатной квартиры",""
"оказание услуг по генеральной уборке","9","генеральная уборка",""
"провести генеральную уборку квартиры","14","генеральная уборка квартиры",""
"рассчитать стоимость генеральной уборки","6","генеральная уборка",""
"сделать генеральную уборку дома","1","генеральная уборка дома",""
"сколько стоит генеральная уборка","210","Стоимость генеральной уборки",""
"сколько стоит генеральная уборка 2 комнатной квартиры","17","Стоимость генеральной уборки",""
"сколько стоит генеральная уборка в москве","75","Стоимость генеральной уборки",""
"сколько стоит генеральная уборка двухкомнатной квартиры","19","Стоимость генеральной уборки",""
"сколько стоит генеральная уборка дома","8","Стоимость генеральной уборки",""
"сколько стоит генеральная уборка квартиры","144","Стоимость генеральной уборки",""
"сколько стоит генеральная уборка квартиры в москве","70","Стоимость генеральной уборки",""
"сколько стоит генеральная уборка кухни","10","Стоимость генеральной уборки",""
"сколько стоит генеральная уборка однокомнатной квартиры","18","Стоимость генеральной уборки",""
"сколько стоит генеральная уборка офиса","2","Стоимость генеральной уборки",""
"сколько стоит генеральная уборка после ремонта","4","Стоимость генеральной уборки после ремонта",""
"сколько стоит генеральная уборка студии","6","Стоимость генеральной уборки",""
"сколько стоит генеральная уборка трехкомнатной квартиры","2","Стоимость генеральной уборки",""
"сколько стоит генеральный клининг","3","Стоимость генеральной уборки",""
"сколько стоит квадратный метр генеральной уборки","5","Стоимость генеральной уборки",""
"стоимость генеральной уборки 1 комнатной","6","Стоимость генеральной уборки",""
"стоимость генеральной уборки 1 комнатной квартиры","6","Стоимость генеральной уборки",""
"стоимость генеральной уборки кв м","6","Стоимость генеральной уборки",""
"стоимость генеральной уборки квартиры после ремонта","2","Стоимость генеральной уборки после ремонта",""
"убрать кухню генеральная уборка","10","Генеральная уборка кухни",""
"услуги генеральной уборки цена","4","Генеральная уборка",""
"цена генеральной уборки за м2","7","Стоимость генеральной уборки",""
"чем отличается клининг от генеральной уборки","7","Генеральная уборка",""
"что включает генеральная уборка клининга","1","Генеральная уборка",""
"что входит в генеральную уборку","79","Генеральная уборка",""
"что входит в генеральную уборку дома","1","Генеральная уборка",""
"что входит в генеральную уборку квартиры","27","Генеральная уборка",""
"что входит в генеральную уборку квартиры список","4","Генеральная уборка",""
"что входит в генеральную уборку клининга","8","Генеральная уборка",""
"что входит в клининг квартиры генеральную уборку","2","Генеральная уборка",""
"что входит в клининговую генеральную уборку","3","Генеральная уборка",""
"что значит генеральная уборка в квартире","3","Генеральная уборка",""
