"Группа","Заголовок 1","Заголовок 2","Текст","Ссылка","Отображаемая ссылка","Уточнения","Быстрые ссылки"
"G6 2-комн","Генеральная уборка двушки от 12 500 ₽","Договор и гарантия","Можно вдвоём — уберём быстрее. Договор и гарантия. Москва и МО.","https://general-cleaning.ru/generalnaya-2-komnatnaya?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g6","general-cleaning.ru/2-komnatnaya","Выезд на следующий день|от 12 500 ₽ по площади|Безопасные средства|Договор и гарантия|Своя компания","Цены по площади|Что входит|Отзывы|Как мы работаем"
"G7 3-комн","Генеральная уборка 3-комнатной квартиры","от 15 000 ₽ по площади","Трёшка под ключ за один выезд. От 15 000 ₽. Можно вдвоём — быстрее.","https://general-cleaning.ru/generalnaya-3-komnatnaya?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g7","general-cleaning.ru/3-komnatnaya","Выезд на следующий день|от 15 000 ₽ по площади|Безопасные средства|Договор и гарантия|Своя компания","Цены по площади|Что входит|Отзывы|Как мы работаем"
"G7 3-комн","Уборка трёхкомнатной квартиры под ключ","Выезд на следующий день","Окна, кухня, санузел, пыль везде. Фикс-цена по площади. Москва и МО.","https://general-cleaning.ru/generalnaya-3-komnatnaya?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g7","general-cleaning.ru/3-komnatnaya","Выезд на следующий день|от 15 000 ₽ по площади|Безопасные средства|Договор и гарантия|Своя компания","Цены по площади|Что входит|Отзывы|Как мы работаем"
"G7 3-комн","Генеральная уборка трёшки от 15 000 ₽","Договор и гарантия","Глубокая уборка большой квартиры. Договор, гарантия, безопасные средства.","https://general-cleaning.ru/generalnaya-3-komnatnaya?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g7","general-cleaning.ru/3-komnatnaya","Выезд на следующий день|от 15 000 ₽ по площади|Безопасные средства|Договор и гарантия|Своя компания","Цены по площади|Что входит|Отзывы|Как мы работаем"
"G8 Офис","Генеральная уборка офиса в Москве","Договор · безнал","Уборка офиса под ключ. Безнал, договор, закрывающие документы.","https://general-cleaning.ru/biznes?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g8","general-cleaning.ru/biznes","Договор и безнал|Закрывающие документы|Любые объёмы|Выезд на следующий день","Цены|Для бизнеса|Оставить заявку|Как мы работаем"
"G8 Офис","Клининг офисов — генеральная уборка","Выезд в удобное время","Расчёт по площади. Любые объёмы. Работаем по Москве и МО.","https://general-cleaning.ru/biznes?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g8","general-cleaning.ru/biznes","Договор и безнал|Закрывающие документы|Любые объёмы|Выезд на следующий день","Цены|Для бизнеса|Оставить заявку|Как мы работаем"
"G8 Офис","Заказать генеральную уборку офиса","Любые объёмы","Приедём в удобное время, не мешая работе. Договор и гарантия.","https://general-cleaning.ru/biznes?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g8","general-cleaning.ru/biznes","Договор и безнал|Закрывающие документы|Любые объёмы|Выезд на следующий день","Цены|Для бизнеса|Оставить заявку|Как мы работаем"
"G9 Дом","Генеральная уборка дома и коттеджа","от 10 000 ₽ по площади","Дом под ключ за один выезд. Окна, кухня, санузлы. От 10 000 ₽.","https://general-cleaning.ru/general?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g9","general-cleaning.ru/general","Выезд на следующий день|от 10 000 ₽ по площади|Безопасные средства|Договор и гарантия|Своя компания","Цены по площади|Что входит|Отзывы|Как мы работаем"
"G9 Дом","Уборка загородного дома под ключ","Выезд на следующий день","Работаем по Москве и области. Фикс-цена по площади, договор.","https://general-cleaning.ru/general?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g9","general-cleaning.ru/general","Выезд на следующий день|от 10 000 ₽ по площади|Безопасные средства|Договор и гарантия|Своя компания","Цены по площади|Что входит|Отзывы|Как мы работаем"
"G9 Дом","Генеральная уборка дома — от 10 000 ₽","Гарантия на работы","Большой дом уберём бригадой — быстрее. Гарантия на работы.","https://general-cleaning.ru/general?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g9","general-cleaning.ru/general","Выезд на следующий день|от 10 000 ₽ по площади|Безопасные средства|Договор и гарантия|Своя компания","Цены по площади|Что входит|Отзывы|Как мы работаем"
"G10 Окна","Генеральная уборка с мытьём окон","Окна, рамы, подоконники","Окна, рамы, подоконники + генеральная уборка за один выезд.","https://general-cleaning.ru/general?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g10","general-cleaning.ru/general","Выезд на следующий день|от 10 000 ₽ по площади|Безопасные средства|Договор и гарантия|Своя компания","Цены по площади|Что входит|Отзывы|Как мы работаем"
"G10 Окна","Мытьё окон + генеральная уборка","от 10 000 ₽ по площади","От 10 000 ₽, цена по площади. Выезд на следующий день. Москва.","https://general-cleaning.ru/general?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g10","general-cleaning.ru/general","Выезд на следующий день|от 10 000 ₽ по площади|Безопасные средства|Договор и гарантия|Своя компания","Цены по площади|Что входит|Отзывы|Как мы работаем"
"G10 Окна","Помоем окна и уберём квартиру","Договор и гарантия","Безопасные средства и профнабор. Договор и гарантия на работы.","https://general-cleaning.ru/general?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g10","general-cleaning.ru/general","Выезд на следующий день|от 10 000 ₽ по площади|Безопасные средства|Договор и гарантия|Своя компания","Цены по площади|Что входит|Отзывы|Как мы работаем"
"G11 Кухня/санузел","Генеральная уборка кухни и санузла","Налёт, жир, до блеска","Жир, налёт, известь — отмоем до блеска. Кухня, санузел, окна.","https://general-cleaning.ru/general?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g11","general-cleaning.ru/general","Выезд на следующий день|от 10 000 ₽ по площади|Безопасные средства|Договор и гарантия|Своя компания","Цены по площади|Что входит|Отзывы|Как мы работаем"
"G11 Кухня/санузел","Уборка кухни и ванной до блеска","от 10 000 ₽ по площади","От 10 000 ₽, цена по площади. Безопасные средства. Москва и МО.","https://general-cleaning.ru/general?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g11","general-cleaning.ru/general","Выезд на следующий день|от 10 000 ₽ по площади|Безопасные средства|Договор и гарантия|Своя компания","Цены по площади|Что входит|Отзывы|Как мы работаем"
"G11 Кухня/санузел","Генеральная уборка: кухня, санузел","Договор и гарантия","Генеральная уборка за один выезд. Договор и гарантия на работы.","https://general-cleaning.ru/general?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g11","general-cleaning.ru/general","Выезд на следующий день|от 10 000 ₽ по площади|Безопасные средства|Договор и гарантия|Своя компания","Цены по площади|Что входит|Отзывы|Как мы работаем"
"G12 После ремонта","Генеральная уборка после ремонта","от 14 000 ₽ · оборуд. вкл.","Уберём строительную пыль, краску, цемент. Заезжайте и живите.","https://general-cleaning.ru/remont?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g12","general-cleaning.ru/remont","Выезд на следующий день|от 14 000 ₽|Оборудование включено|Договор и гарантия","Цены|Что входит|Заказать уборку|Как мы работаем"
"G12 После ремонта","Уборка квартиры после ремонта под ключ","Выезд на следующий день","Окна от краски, плитка от затирки, пыль везде. От 14 000 ₽.","https://general-cleaning.ru/remont?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g12","general-cleaning.ru/remont","Выезд на следующий день|от 14 000 ₽|Оборудование включено|Договор и гарантия","Цены|Что входит|Заказать уборку|Как мы работаем"
"G12 После ремонта","Уборка после ремонта — от 14 000 ₽","Москва и ближняя МО","Оборудование и средства — наши. Договор и гарантия. Москва и МО.","https://general-cleaning.ru/remont?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g12","general-cleaning.ru/remont","Выезд на следующий день|от 14 000 ₽|Оборудование включено|Договор и гарантия","Цены|Что входит|Заказать уборку|Как мы работаем"
"G13 Что входит","Что входит в генеральную уборку","Состав работ и цены","Окна, кухня, санузел, пыль везде — полный список работ на сайте.","https://general-cleaning.ru/ceny?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g13","general-cleaning.ru/ceny","Выезд на следующий день|от 10 000 ₽ по площади|Безопасные средства|Договор и гарантия|Своя компания","Цены по площади|Что входит|Отзывы|Как мы работаем"
"G13 Что входит","Генеральная уборка: полный состав работ","от 10 000 ₽ по площади","Смотрите, что входит, и рассчитайте цену по площади. От 10 000 ₽.","https://general-cleaning.ru/ceny?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g13","general-cleaning.ru/ceny","Выезд на следующий день|от 10 000 ₽ по площади|Безопасные средства|Договор и гарантия|Своя компания","Цены по площади|Что входит|Отзывы|Как мы работаем"
"G13 Что входит","Что входит в генеральную уборку квартиры","Договор и гарантия","Прозрачный состав работ. Ничего не забудем. Договор и гарантия.","https://general-cleaning.ru/ceny?utm_source=yandex&utm_medium=cpc&utm_campaign=generalnaya&utm_content=g13","general-cleaning.ru/ceny","Выезд на следующий день|от 10 000 ₽ по площади|Безопасные средства|Договор и гарантия|Своя компания","Цены по площади|Что входит|Отзывы|Как мы работаем"
