"Кампания","Группа","Ключевая фраза","Показы"
"Генеральная B2C","Сколько стоит","сколько стоит квадратный метр генеральной уборки","5"
"Генеральная B2C","Сколько стоит","клининг сколько стоит генеральная уборка","3"
"Генеральная B2C","1-комнатная/студия","генеральная уборка 1 квартиры","41"
"Генеральная B2C","1-комнатная/студия","однокомнатная генеральная уборка","36"
"Генеральная B2C","1-комнатная/студия","генеральная уборка однокомнатной квартиры","35"
"Генеральная B2C","1-комнатная/студия","генеральная уборка 1 комнатной квартиры","29"
"Генеральная B2C","1-комнатная/студия","сколько стоит генеральная уборка однокомнатной квартиры","18"
"Генеральная B2C","1-комнатная/студия","генеральная уборка 1 комнатной квартиры цена","15"
"Генеральная B2C","1-комнатная/студия","генеральная уборка однокомнатной квартиры в москве","12"
"Генеральная B2C","1-комнатная/студия","генеральная уборка однокомнатной квартиры цена","11"
"Генеральная B2C","1-комнатная/студия","сколько стоит генеральная уборка студии","6"
"Генеральная B2C","1-комнатная/студия","стоимость генеральной уборки 1 комнатной","6"
"Генеральная B2C","1-комнатная/студия","стоимость генеральной уборки 1 комнатной квартиры","6"
"Генеральная B2C","2-комнатная","генеральная уборка 2 комнатной квартиры","40"
"Генеральная B2C","2-комнатная","генеральная уборка двухкомнатной квартиры","31"
"Генеральная B2C","2-комнатная","генеральная уборка двухкомнатной квартиры стоит","19"
"Генеральная B2C","2-комнатная","сколько стоит генеральная уборка двухкомнатной квартиры","19"
"Генеральная B2C","2-комнатная","генеральная уборка 2 комнатной квартиры цена","18"
"Генеральная B2C","2-комнатная","сколько стоит генеральная уборка 2 комнатной квартиры","17"
"Генеральная B2C","2-комнатная","генеральная уборка 2 х комнатной квартиры","10"
"Генеральная B2C","2-комнатная","генеральная уборка двухкомнатной квартиры цена","5"
"Генеральная B2C","3-комнатная","генеральная уборка 3 комнатной квартиры","33"
"Генеральная B2C","3-комнатная","генеральная уборка 3 х квартиры","21"
"Генеральная B2C","3-комнатная","генеральная уборка 3 х комнатной квартиры","21"
"Генеральная B2C","3-комнатная","генеральная уборка 3 комнатной в москве","17"
"Генеральная B2C","3-комнатная","генеральная уборка 3 комнатной квартиры цена","6"
"Генеральная B2C","3-комнатная","генеральная уборка трехкомнатной квартиры","3"
"Генеральная B2C","3-комнатная","сколько стоит генеральная уборка трехкомнатной квартиры","2"
"Генеральная B2C","3-комнатная","генеральная уборка 3х комнатной квартиры","1"
"Генеральная B2C","Дом","генеральная уборка дома","106"
"Генеральная B2C","Дом","генеральная уборка частного дома","17"
"Генеральная B2C","Дом","сколько стоит генеральная уборка дома","8"
"Генеральная B2C","Дом","генеральная уборка дома стоимость","7"
"Генеральная B2C","Дом","генеральная уборка дома быстро","3"
"Генеральная B2C","Дом","генеральная уборка домов клининг","3"
"Генеральная B2C","Дом","генеральная уборка дома цена","2"
"Генеральная B2C","Дом","генеральная уборка дома квартиры","1"
"Генеральная B2C","Дом","генеральная уборка загородного дома","1"
"Генеральная B2C","Дом","сделать генеральную уборку дома","1"
"Генеральная B2C","Кухня","генеральная уборка кухни","81"
"Генеральная B2C","Кухня","генеральный клининг кухни","28"
"Генеральная B2C","Кухня","генеральная уборка кухни клининг","26"
"Генеральная B2C","Кухня","генеральная уборка кухни цена","10"
"Генеральная B2C","Кухня","сколько стоит генеральная уборка кухни","10"
"Генеральная B2C","Кухня","убрать кухню генеральная уборка","10"
"Генеральная B2C","Кухня","генеральная уборка кухни стоимость","3"
"Генеральная B2C","Окна","генеральная уборка окна","47"
"Генеральная B2C","Окна","генеральная уборка мытье окон","26"
"Генеральная B2C","Окна","генеральная уборка квартиры мытье окон","12"
"Генеральная B2C","Ванная/санузел","генеральная уборка ванной комнаты и туалета клининг","3"
"Генеральная B2C","Клининг","клининг генеральная уборка","232"
"Генеральная B2C","Клининг","клининг генеральная уборка квартиры","118"
"Генеральная B2C","Клининг","клининг квартиры москва генеральная","118"
"Генеральная B2C","Клининг","клининг москва генеральная уборка","118"
"Генеральная B2C","Клининг","клининг квартиры москва генеральная уборка","91"
"Генеральная B2C","Клининг","заказать клининг квартиры в москве генеральную","25"
"Генеральная B2C","Клининг","клининговые услуги генеральная уборка","8"
"Генеральная B2C","Клининг","генеральная уборка квартиры клининговая компания","6"
"Генеральная B2C","Клининг","клининговые услуги генеральная уборка квартиры","2"
"Генеральная B2C","Генеральный клининг","генеральный клининг","309"
"Генеральная B2C","Генеральный клининг","генеральный клининг квартиры","153"
"Генеральная B2C","Генеральный клининг","генеральный клининг москва","146"
"Генеральная B2C","Генеральный клининг","генеральный клининг цена","35"
"Генеральная B2C","Генеральный клининг","генеральный клининг квартиры цена","27"
"Генеральная B2C","Генеральный клининг","сколько стоит генеральный клининг","3"
"Генеральная B2C","Услуги/компания","генеральная уборка услуги","42"
"Генеральная B2C","Услуги/компания","генеральная уборка квартир услуги","10"
"Генеральная B2C","Услуги/компания","оказание услуг по генеральной уборке","9"
"Генеральная B2C","Что входит","что входит в генеральную уборку","79"
"Генеральная B2C","Что входит","что входит в генеральную уборку квартиры","27"
"Генеральная B2C","Что входит","что входит в генеральную уборку клининга","8"
"Генеральная B2C","Что входит","чем отличается клининг от генеральной уборки","7"
"Генеральная B2C","Что входит","что входит в генеральную уборку квартиры список","4"
"Генеральная B2C","Что входит","генеральная уборка квартир что включает","3"
"Генеральная B2C","Что входит","что входит в клининговую генеральную уборку","3"
"Генеральная B2C","Что входит","что значит генеральная уборка в квартире","3"
"Генеральная B2C","Что входит","что входит в клининг квартиры генеральную уборку","2"
"Генеральная B2C","Что входит","что включает генеральная уборка клининга","1"
"Генеральная B2C","Что входит","что входит в генеральную уборку дома","1"
"После ремонта","После ремонта","генеральный ремонт уборка","84"
"После ремонта","После ремонта","генеральная уборка после ремонта","81"
"После ремонта","После ремонта","генеральной уборки квартиры ремонта","25"
"После ремонта","После ремонта","генеральная уборка квартиры после ремонта","23"
"После ремонта","После ремонта","генеральная уборка после ремонта москва","11"
"После ремонта","После ремонта","генеральная уборка после ремонта цена","9"
"После ремонта","После ремонта","генеральная уборка квартиры после ремонта цена","6"
"После ремонта","После ремонта","сколько стоит генеральная уборка после ремонта","4"
"После ремонта","После ремонта","генеральная уборка после ремонта стоимость","3"
"После ремонта","После ремонта","стоимость генеральной уборки квартиры после ремонта","2"
"После ремонта","После ремонта","генеральная уборка домов после ремонта","1"
"После ремонта","После ремонта","клининг генеральная уборка после ремонта","1"
"B2B — коммерция","Офис","генеральная уборка офисов клининг","6"
"B2B — коммерция","Офис","генеральная уборка офисов стоимость","5"
"B2B — коммерция","Офис","генеральная уборка офиса после ремонта","2"
"B2B — коммерция","Офис","генеральная уборка офисов услуги","2"
"B2B — коммерция","Офис","сколько стоит генеральная уборка офиса","2"
"B2B — коммерция","Офис","генеральная уборка офиса цены","1"
"B2B — коммерция","Помещения/коммерция","генеральная уборка помещений услуги","9"
"B2B — коммерция","Помещения/коммерция","генеральный клининг фитнес клуба","6"
"B2B — коммерция","Помещения/коммерция","генеральная уборка помещений после ремонта","5"
"B2B — коммерция","Помещения/коммерция","генеральная уборка производственных помещений после ремонта недорого","1"
