"Комната и коридор","Удалим послестроительные незначительные пятна (краска, побелка, цемент, затирка)","—","—","Включено"
"Комната и коридор","Удалим строительный скотч, клей (незначительного объема)","—","—","Включено"
"Комната и коридор","Удалим различные строительные смеси (в большом объеме)","—","—","от 1999 руб."
"Комната и коридор","Соберем и вынесем крупногабаритный строительный мусор","—","—","от 1999 руб."
"Кухня","Помоем посуду (наполнение 1 раковина)","Включено","Включено","—"
"Кухня","Помоем посуду (большое количество)","499 руб. за час","от 499 руб. за час","—"
"Кухня","Почистим раковину","Включено","Включено","—"
"Кухня","Протрем столешницу и кухонный фартук","Включено","Включено","Включено"
"Кухня","Протрем бытовую технику снаружи","Включено","Включено","—"
"Кухня","Помоем плиту/варочную панель","Включено","Включено","—"
"Кухня","Вынесем бытовой мусор","Включено","Включено","—"
"Кухня","Протрем обеденный стол и стулья","—","—","—"
"Кухня","Протрем внешние фасады кухонной мебели","—","Включено","Включено"
"Кухня","Помоем мусорную корзину","—","Включено","—"
"Кухня","Удалим застарелые жирные и масляные пятна","—","Включено","—"
"Кухня","Помоем кухонные шкафы внутри (освобожденные от посуды)","от 999 руб.","от 1000 руб.","—"
"Кухня","Помоем кухонные шкафы внутри (с изъятием всех принадлежностей)","от 1499 руб.","от 1500 руб.","от 1499 руб."
"Кухня","Чистка плитки и межплиточных швов","—","299 руб./м²","299 руб./м²"
"Кухня","Удалим пыль со стен и проведем локальную помывку","—","Включено","—"
"Кухня","Удалим пыль с потолка","—","Включено","—"
"Кухня","Помоем микроволновую печь (свч) внутри","499","499","—"
"Кухня","Помоем вытяжку","от 999 руб.","999","—"
"Кухня","Помоем духовой шкаф внутри","от 799 руб.","799","—"
"Кухня","Помоем холодильник внутри","от 799 руб.","799","—"
"Кухня","Протрем раковину","—","—","Включено"
"Кухня","Протрем бытовую технику снаружи и внутри (новую)","—","—","Включено"
"Кухня","Помоем плиту/варочную панель (новую)","—","—","Включено"
"Кухня","Вынесем мелкий мусор","—","—","Включено"
"Кухня","Вынесем строительный мусор","—","—","от 1000 руб."
"Кухня","Помоем кухонные шкафы внутри (пустые)","—","—","Включено"
"Кухня","Удалим пыль и помоем радиаторы отопления","—","—","Включено"
"Кухня","Удалим пыль с осветительных приборов (кроме хрустальных)","—","—","Включено"
"Кухня","Обеспылим потолки","—","—","Включено"
"Кухня","Помоем микроволновую печь (свч) внутри (от строительной пыли)","—","—","Включено"
"Кухня","Помоем вытяжку (от строительной пыли)","—","—","Включено"
"Кухня","Помоем духовой шкаф внутри (от строительной пыли)","—","—","Включено"
"Кухня","Помоем холодильник внутри (от строительной пыли)","—","—","Включено"
"Ванная и туалет","Почистим и продезинфицируем раковину/унитаз/биде","—","Включено","Включено"
"Ванная и туалет","Помоем душевую кабину","—","Включено","Включено"
"Ванная и туалет","Почистим смесители","Включено","Включено","Включено"
"Ванная и туалет","Натрем зеркала и стеклянные поверхности","до 1,8 м","Включено","Включено"
"Ванная и туалет","Протрем настенную кафельную плитку","до 1,8 м","Включено","—"
"Ванная и туалет","Удалим пыль с потолка","—","Включено","Включено"
"Ванная и туалет","Удалим пыль с полотенцесушителя","—","Включено","Включено"
"Ванная и туалет","Удаление плесени, ржавчины, сильного водного камня","—","Включено","—"
"Ванная и туалет","Чистка плитки и межплиточных швов","—","299 руб./м²","299 руб./м²"
"Ванная и туалет","Помоем стиральную машину внутри (отсек для порошка, резинку барабана)","499","499","—"
"Ванная и туалет","Почистим и продезинфицируем раковину/унитаз/биде/душевую кабину","Включено","—","—"
"Ванная и туалет","Протрем настенную кафельную плитку от строительной пыли","—","—","Включено"
"Ванная и туалет","Протрем стиральную машину от строительной пыли","—","—","Включено"
"Ванная и туалет","Очистим плитку от незначительных загрязнений после ремонтных работ","—","—","Включено"
"Ванная и туалет","Удаление двухкомпонентной эпоксидной затирки","—","—","от 2999 руб."
"Средства, надбавки, оборудование","Наличие животного в квартире/доме","надбавка 20% к стоимости уборки","надбавка 20% к стоимости уборки","—"
"Средства, надбавки, оборудование","Повышенная степень загрязнения","—","надбавка от 15% к стоимости уборки","—"
"Средства, надбавки, оборудование","Чистящие, моющие средства уборочный инвентарь","—","Включено","Включено"
"Средства, надбавки, оборудование","Доставка доп. оборудования: пылесос, стремянка","—","1599 руб.+49 руб./км от МКАД","1599 руб.+49 руб./км от МКАД"
"Средства, надбавки, оборудование","Доставка вышки-туры/леса (для высотных работ)","—","8499","8499"
"Средства, надбавки, оборудование","Выход дополнительного сотрудника (сокращение времени уборки)","—","4499","4499"
"Средства, надбавки, оборудование","Повышенная степень загрязнениянадбавка","от 10% к стоимости уборки","—","от 15% к стоимости уборки"

"Цены","Объект","Поддерживающая","Генеральная","После ремонта"
"Цены","1 комната","5000","8000","10000"
"Цены","2 комнаты","5060","10120","11140"
"Цены","3 комнаты","6260","12520","13940"
"Цены","4 комнаты","8060","15120","18140"
"Цены","5 комнат / 100 м²","8000","18000","20000"
